Name,Deepdock,XP,Karmadock,Transfoxmol,smiles,,,,,,,,
lig_374,-280.9162551,-11.055,22.86,7.512,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC@H4CN@H+(CCF)C4)cc3OC)ncc2C(F)(F)F)c1,,,,,,,,1375465-09-0
lig_1311,-266.8892511,-10.774,22.32,8.127,C=CC(=O)Nc1cccc(-c2cccc3cnc(Nc4ccc(N5CCNH+(CCO)CC5)c(F)c4F)nc23)c1,,,,,,,,1660963-42-7
lig_2944,-259.2230985,-10.364,24.82,7.893,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccc(N3CCN(C(C)=O)CC3)cc2OC)n1,,,,,,,,1472795-20-2
lig_3951,-258.5382585,-12.218,20.86,7.759,C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCNH+(C)CC4)cc3OC)ncc2Cl)c1,,,,,,,,1805787-93-2
lig_3194,-257.9514285,-9.955,20.31,7.86,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,,,,,,,,1202757-89-8
lig_1578,-250.0480838,-10.251,22.49,,CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4c(c3)CCC(=O)N4)ncc2C(F)(F)F)c1,,,,,,,,
lig_3960,-240.5055021,-13.261,21.68,,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCNH+(C)CC4)c(F)c3)nc3nHccc23)c1,,,,,,,,
lig_3472,-238.4379823,-10.451,22.07,,OC@H1CCC@@H(Oc2cccc3cnc(Nc4ccc5ncnHc5c4)nc23)CC1,,,,,,,,
lig_1083,-231.9041353,-10.516,22.67,,COc1ccc(-c2ccc3ncc4c(c3c2)n(-c2ccc(N3CCNH2+CC3)c(C(F)(F)F)c2)c(=O)n4C)cn1,,,,,,,,
lig_2696,-229.9604728,-9.549,20.38,,O=C(Nc1cccc(Nc2ncc(Br)c(NCCc3cnHcnH+3)n2)c1)N1CCCC1,,,,,,,,
lig_1572,-229.7682736,-9.726,22.6,,O=C1N=C(NCc2cccs2)S/C1=C\c1ccc2ncccc2c1,,,,,,,,
lig_2464,-227.6565114,-10.469,27.32,,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,,,,,,,,
lig_3309,-216.8609708,-10.412,22.55,,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,,,,,,,,
lig_3202,-214.2845366,-9.839,20.03,,Cc1cnc(Nc2ccc3c(c2)CCN(C(=O)/C=C/CNH+(C)C)C3)nc1-c1cnn(C(C)C)c1,,,,,,,,
lig_1428,-212.4286412,-9.669,20.58,,COc1cc(OC)c(Cl)c(-c2ccc3nc(NCCCNC(=O)/C(C#N)=C\C4CC4)ncc3c2)c1Cl,,,,,,,,
lig_3596,-211.7346948,-10.417,20.41,,CCC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCNH+(C)CC4)cc3OC)ncc2Cl)c1,,,,,,,,
